id,英文术语,当前中文译名（游戏）,教材/旧词库原译,音标,词典说明/卡片释义,出现章节,教材频次,来源,审查类型,词典依据
269,national conference of commissioners on uniform state laws,全国统一州法委员会,全国统一州法委员会,ˈnæʃənəl ˈkɑnfərəns əv kəˈmɪʃənərz ɔn ˈjunəˌfɔrm steɪt lɔz,,11,1,textbook,,
270,american law institute,美国法律研究院,美国法律研究院,əˈmɛrɪkən lɔ ˈɪnstɪˌtut,,11,1,textbook,,
271,UCC,统一商法典,统一商法典,,,"11,12",21,textbook,,
272,general provisions,总则,总则,ˈʤɛnərəl prəˈvɪʒənz,,11,1,textbook,,
273,negotiable instruments,票据,票据,nəˈgoʊʃəbəl ˈɪnstrəmənts,,11,1,textbook,,
274,bank deposits,银行存款,银行存款,bæŋk dɪˈpɑzəts,,11,1,textbook,,
275,funds transfer,资金划转,资金划转,fəndz ˈtrænsfər,,11,1,textbook,,
276,letters of credit,信用证,信用证,ˈlɛtərz əv ˈkrɛdɪt,,11,1,textbook,,
277,bulk transfers and bulk sales,大宗转让与大宗销售,大宗转让与大宗销售,bəlk ˈtrænsfərz ənd bəlk seɪlz,,11,1,textbook,,
278,warehouse receipts,仓单,仓单,ˈwɛˌrhaʊs rɪˈsits,,11,1,textbook,,
279,bills of lading,提单,提单,bɪlz əv ˈleɪdɪŋ,,11,1,textbook,,
280,other documents of title,所有权凭证,所有权凭证,ˈəðər ˈdɑkjəmənts əv ˈtaɪtəl,,11,1,textbook,,
281,investment securities,投资证券,投资证券,ˌɪnˈvɛstmənt sɪˈkjʊrətiz,,11,2,textbook,,
282,secured transactions,担保交易,担保交易,sɪˈkjʊrd trænˈzækʃənz,,11,2,textbook,,
283,personal property,动产,动产,ˈpərsɪnəl ˈprɑpərti,,"11,12",10,textbook,,
284,default,违约,违约,dɪˈfɔlt,,11,1,textbook,,
285,collateral,担保物,担保物,kəˈlætərəl,,"11,12,13",4,textbook,,
286,sale of goods,货物买卖,货物买卖,seɪl əv gʊdz,,11,1,textbook,,
287,contract for the sale of goods,买卖合同,买卖合同,ˈkɑnˌtrækt fər ðə seɪl əv gʊdz,,11,1,textbook,,
288,goods,货物,货物,gʊdz,,11,2,textbook,,
289,things in action,诉权,诉权,θɪŋz ɪn ˈækʃən,,11,1,textbook,,
290,contract for sale,买卖合同,买卖合同,ˈkɑnˌtrækt fər seɪl,,11,1,textbook,,
291,realty,不动产,不动产,ˈriəlˌti,,"11,12",8,textbook,,
292,counteroffer,反要约,反要约,ˈkaʊntərˌɔfər,,11,1,textbook,,
293,assurance,保证,保证,əˈʃʊrəns,,11,1,textbook,,
294,warrant,担保；保证；搜查证；逮捕证,担保；保证；搜查证；逮捕证,ˈwɔrənt,,"7,8,11,12",20,textbook,,
295,title,所有权,所有权,ˈtaɪtəl,,"11,12",30,textbook,,
296,ownership,所有权,所有权,ˈoʊnərˌʃɪp,,"11,12,13",4,textbook,,
297,guarantee,保证,保证,ˌgɛrənˈti,,"11,12",2,textbook,,
298,express,明示,明示,ɪkˈsprɛs,,11,1,textbook,,
299,express warranty,明示担保,明示担保,ɪkˈsprɛs ˈwɔrənti,,11,1,textbook,,
300,implied warranty,默示担保,默示担保,ˌɪmˈplaɪd ˈwɔrənti,,11,3,textbook,,
301,implied warranty of merchantability,适销性默示担保,适销性默示担保,,,11,2,textbook,,
302,contract action,合同之诉,合同之诉,ˈkɑnˌtrækt ˈækʃən,,11,1,textbook,,
303,merchantable goods,货物,货物,,,11,1,textbook,,
304,implied warranty of fitness,适用性默示担保,适用性默示担保,ˌɪmˈplaɪd ˈwɔrənti əv ˈfɪtnəs,,11,3,textbook,,
305,incidental damages,附带损害赔偿,附带损害赔偿,ˌɪnsɪˈdɛntəl ˈdæmɪʤɪz,,11,1,textbook,,
306,consumer law,消费者法,消费者法,kənˈsumər lɔ,,11,3,textbook,,
307,regulate commerce,商事,商事,ˈrɛgjəˌleɪt ˈkɑmərs,,11,1,textbook,,
308,general welfare,公共福利,公共福利,ˈʤɛnərəl ˈwɛlˌfɛr,,"11,12",2,textbook,,
309,SEC,证券交易委员会,证券交易委员会,sɛk,,11,1,textbook,,
310,FAA,联邦航空局,联邦航空局,,,"8,11",5,textbook,,
311,FDA,食品药品局,食品药品局,,,11,1,textbook,,
312,statutory remedy,救济,救济,ˈstæʧəˌtɔri ˈrɛmədi,,11,1,textbook,,
313,deceptive trade practices statute,欺诈性贸易行为法,欺诈性贸易行为法,dɪˈsɛptɪv treɪd ˈpræktɪsɪz ˈstæʧut,,11,1,textbook,,
314,bait and switch,诱饵调包,诱饵调包,beɪt ənd swɪʧ,,11,1,textbook,,
315,Credit Card Accountability Responsibility and Disclosure Act,信用卡问责、责任与披露法,信用卡问责、责任与披露法,ˈkrɛdɪt kɑrd əˈkaʊntəˌbɪlɪti riˌspɑnsəˈbɪləti ənd dɪˈskloʊʒər ækt,,11,1,textbook,,
316,unconscionable,显失公平,显失公平,ənˈkɑnʃənəbəl,,11,2,textbook,,
317,unconscionability,显失公平,显失公平,,,11,2,textbook,,
318,unconscionably,显失公平,显失公平,,,11,1,textbook,,
319,sole proprietorship,独资企业,独资企业,soʊl prəˈpraɪətərˌʃɪp,,11,5,textbook,,
320,tort liability,侵权责任,侵权责任,tɔrt ˌlaɪəˈbɪlɪti,,11,2,textbook,,
321,partnership,合伙,合伙,ˈpɑrtnərˌʃɪp,,11,10,textbook,,
322,partnership agreement,合伙协议,合伙协议,ˈpɑrtnərˌʃɪp əˈgrimənt,,11,2,textbook,,
323,indemnification,补偿,补偿,ˌɪnˌdɛmnəfɪˈkeɪʃən,,11,1,textbook,,
324,uniform partnership act,统一合伙法,统一合伙法,ˈjunəˌfɔrm ˈpɑrtnərˌʃɪp ækt,,11,1,textbook,,
325,uniform limited partnership act,统一有限合伙法,统一有限合伙法,ˈjunəˌfɔrm ˈlɪmɪtɪd ˈpɑrtnərˌʃɪp ækt,,11,1,textbook,,
326,general partnership,普通合伙,普通合伙,ˈʤɛnərəl ˈpɑrtnərˌʃɪp,,11,2,textbook,,
327,silent partner,隐名合伙人,隐名合伙人,ˈsaɪlənt ˈpɑrtnər,,11,1,textbook,,
328,individual and joint liability,个人及连带责任,个人及连带责任,ˌɪndəˈvɪʤəwəl ənd ʤɔɪnt ˌlaɪəˈbɪlɪti,,11,1,textbook,,
329,limited partnership,有限合伙,有限合伙,ˈlɪmɪtɪd ˈpɑrtnərˌʃɪp,,11,3,textbook,,
330,uniform limited liability company act,统一有限责任公司法,统一有限责任公司法,ˈjunəˌfɔrm ˈlɪmɪtɪd ˌlaɪəˈbɪlɪti ˈkəmpəˌni ækt,,11,1,textbook,,
331,limited liability,有限责任,有限责任,ˈlɪmɪtɪd ˌlaɪəˈbɪlɪti,,11,2,textbook,,
332,charter,特许,特许,ˈʧɑrtər,,11,1,textbook,,
333,stockholder,股东,股东,ˈstɑˌkhoʊldər,,11,3,textbook,,
334,closely held corporation,封闭持有公司,封闭持有公司,ˈkloʊsli hɛld ˌkɔrpərˈeɪʃən,,11,3,textbook,,
335,professional corporation,专业公司,专业公司,prəˈfɛʃənəl ˌkɔrpərˈeɪʃən,,11,2,textbook,,
336,malpractice,渎职；医疗过失,渎职；医疗过失,mælˈpræktɪs,,"5,11",3,textbook,,
337,dividend,股息,股息,ˈdɪvɪˌdɛnd,,11,3,textbook,,
338,stock split,股票分割,股票分割,stɑk splɪt,,11,1,textbook,,
339,common shares,普通股,普通股,ˈkɑmən ʃɛrz,,11,1,textbook,,
340,preferred stock,优先股,优先股,prɪˈfərd stɑk,,11,1,textbook,,
341,piercing of the corporate veil,刺破公司面纱,刺破公司面纱,ˈpɪrsɪŋ əv ðə ˈkɔrpərət veɪl,,11,1,textbook,,
342,director,董事,董事,dɪˈrɛktər,,11,2,textbook,,
343,obstruction of justice,妨碍司法,妨碍司法,əbˈstrəkʃən əv ˈʤəstɪs,,11,1,textbook,,
344,indemnity,补偿,补偿,ˌɪnˈdɛmnɪti,,11,1,textbook,,
345,malpractice insurance,渎职保险；医疗过失保险,渎职保险；医疗过失保险,mælˈpræktɪs ˌɪnˈʃʊrəns,,"11,14",2,textbook,,
346,CEO,首席执行官,首席执行官,ˈsiˌiˈoʊ,,11,1,textbook,,
347,limited liability company,有限责任公司,有限责任公司,ˈlɪmɪtɪd ˌlaɪəˈbɪlɪti ˈkəmpəˌni,,11,2,textbook,,
348,compact,契约,契约,ˈkɑmpækt,,11,1,textbook,,
349,Am. Jur.,美国法律大全,美国法律大全,,,11,1,textbook,,
350,CISG,联合国国际货物销售合同公约,联合国国际货物销售合同公约,,,11,1,textbook,,
351,warranty of title,所有权担保,所有权担保,ˈwɔrənti əv ˈtaɪtəl,,11,1,textbook,,
352,property,财产,财产,ˈprɑpərti,,"12,13",25,textbook,,
353,property law,财产法,财产法,ˈprɑpərti lɔ,,"12,13",3,textbook,,
354,property interest,财产权益,财产权益,ˈprɑpərti ˈɪntəˌrɛst,,12,3,textbook,,
355,private ownership,私人所有制,私人所有制,ˈpraɪvət ˈoʊnərˌʃɪp,,12,1,textbook,,
356,vest,归属,归属,vɛst,,12,2,textbook,,
357,"real property, realty",不动产,不动产,"ril ˈprɑpərti, ˈriəlˌti",,12,1,textbook,,
358,appurtenance,附属物,附属物,,,12,1,textbook,,
359,possessory interest,占有权益,占有权益,,,12,2,textbook,,
360,"personal property, personalty",动产,动产,,,12,1,textbook,,
361,goodwill,商誉,商誉,ˈgʊdˈwɪl,,"12,13",2,textbook,,
362,tangible property,有体财产,有体财产,ˈtænʤəbəl ˈprɑpərti,,12,2,textbook,,
363,intangible property,无体财产,无体财产,ˌɪnˈtænʤəbəl ˈprɑpərti,,12,3,textbook,,
364,debt,债务,债务,dɛt,,"12,13",9,textbook,,
365,promissory note,本票,本票,ˈprɑməˌsɔri noʊt,,12,2,textbook,,
366,patent,专利,专利,ˈpætənt,,12,32,textbook,,
367,copyright,版权,版权,ˈkɑpiˌraɪt,,12,22,textbook,,
368,estate,地产权；遗产,地产权；遗产,ɛˈsteɪt,,"3,12,13",13,textbook,,
369,fee simple estate,非限嗣继承地产权,非限嗣继承地产权,fi ˈsɪmpəl ɛˈsteɪt,,12,7,textbook,,
370,heir,继承人,继承人,ɛr,,12,15,textbook,,
371,fee simple,非限嗣继承地产权,非限嗣继承地产权,fi ˈsɪmpəl,,12,1,textbook,,
372,nonfreehold estate,非自由保有地产权,非自由保有地产权,,,12,3,textbook,,
373,property ownership,所有权,所有权,ˈprɑpərti ˈoʊnərˌʃɪp,,12,1,textbook,,
374,feudalism,封建制度；封建制,封建制度；封建制,fˈjudəˌlɪzəm,,"2,12",6,textbook,,
375,tenant,佃户；承租人,佃户；承租人,ˈtɛnənt,,"12,14",21,textbook,,
376,lord,领主,领主,lɔrd,,12,3,textbook,,
377,tenure system,保有制,保有制,ˈtɛnjər ˈsɪstəm,,12,2,textbook,,
378,dominion,最高所有权,最高所有权,dəˈmɪnjən,,12,1,textbook,,
379,possessory title,占有产权,占有产权,,,12,1,textbook,,
380,seisin,占有,占有,,,12,1,textbook,,
381,statute quia emptores,Quia Emptores法令,Quia Emptores法令,,,12,1,textbook,,
382,tenures abolition act,保有废除法,保有废除法,ˈtɛnjərz ˌæbəˈlɪʃən ækt,,12,1,textbook,,
383,freehold estate,自由保有地产权,自由保有地产权,ˈfriˌhoʊld ɛˈsteɪt,,12,2,textbook,,
384,fee tail estate,限嗣继承地产权,限嗣继承地产权,fi teɪl ɛˈsteɪt,,12,2,textbook,,
385,life estate,终身地产权,终身地产权,laɪf ɛˈsteɪt,,12,5,textbook,,
386,divestment,剥夺,剥夺,dɪˈvɛsmənt,,12,1,textbook,,
387,alienate,让与,让与,ˈeɪljəˌneɪt,,12,1,textbook,,
388,conveyance,转让,转让,kənˈveɪəns,,12,4,textbook,,
389,grantor,让与人,让与人,ˈgræntər,,12,10,textbook,,
390,fee tail,限嗣继承地产权,限嗣继承地产权,fi teɪl,,12,5,textbook,,
391,will,遗嘱,遗嘱,wɪl,,"12,13",39,textbook,,
392,primogeniture,长子继承制,长子继承制,,,12,3,textbook,,
393,fee tail female,女系限嗣继承,女系限嗣继承,fi teɪl ˈfiˌmeɪl,,12,1,textbook,,
394,fee tail male,男系限嗣继承,男系限嗣继承,fi teɪl meɪl,,12,1,textbook,,
395,equitable trust,衡平信托,衡平信托,ˈɛkwɪtəbəl trəst,,12,1,textbook,,
396,estate pur autre vie,他命终身地产权,他命终身地产权,,,12,1,textbook,,
397,life tenant,终身地产保有人,终身地产保有人,laɪf ˈtɛnənt,,12,1,textbook,,
398,title company,产权公司,产权公司,ˈtaɪtəl ˈkəmpəˌni,,12,1,textbook,,
399,cloud on title,所有权瑕疵,所有权瑕疵,klaʊd ɔn ˈtaɪtəl,,12,2,textbook,,
400,mortgage,抵押,抵押,ˈmɔrgɪʤ,,12,3,textbook,,
401,judgment,判决,判决,ˈʤəʤmənt,,"12,13",19,textbook,,
402,recording,登记,登记,rɪˈkɔrdɪŋ,,12,1,textbook,,
403,realtor,房地产经纪人,房地产经纪人,ˈriəltər,,12,1,textbook,,
404,leasehold estate,租赁地产权,租赁地产权,ˈlisˌhoʊld ɛˈsteɪt,,12,2,textbook,,
405,landlord,房东,房东,ˈlænˌdlɔrd,,"12,14",14,textbook,,
406,reversion interest,归复权益,归复权益,rɪˈvərʒən ˈɪntəˌrɛst,,12,1,textbook,,
407,estate for years,有期地产权,有期地产权,ɛˈsteɪt fər jɪrz,,12,3,textbook,,
408,periodic estate,周期地产权,周期地产权,ˌpɪriˈɑdɪk ɛˈsteɪt,,12,2,textbook,,
409,estate at will,任意地产权,任意地产权,ɛˈsteɪt æt wɪl,,12,2,textbook,,
410,lessor,出租人,出租人,ˈlɛsər,,12,5,textbook,,
411,lessee,承租人,承租人,lɛˈsi,,12,2,textbook,,
412,lease,租赁；租约,租赁；租约,lis,,"2,11,12,14",17,textbook,,
413,covenant,契约,契约,ˈkəvənənt,,12,1,textbook,,
414,quiet enjoyment,安静享用权,安静享用权,kwaɪət ˌɛnˈʤɔɪmənt,,12,1,textbook,,
415,sublease,转租,转租,ˈsəˌblis,,12,1,textbook,,
416,evict,驱逐,驱逐,ɪˈvɪkt,,12,1,textbook,,
417,concurrent ownership,共同所有,共同所有,kənˈkərənt ˈoʊnərˌʃɪp,,12,2,textbook,,
418,marital estate,婚姻财产,婚姻财产,ˈmærətəl ɛˈsteɪt,,12,1,textbook,,
419,community property system,夫妻共同财产制,夫妻共同财产制,kəmˈjunɪti ˈprɑpərti ˈsɪstəm,,12,3,textbook,,
420,common law system,普通法财产制,普通法财产制,ˈkɑmən lɔ ˈsɪstəm,,12,2,textbook,,
421,inheritance,继承；继承权,继承；继承权,ˌɪnˈhɛrətəns,,"2,3,12,13",15,textbook,,
422,tenancy in common,按份共有,按份共有,ˈtɛnənsi ɪn ˈkɑmən,,12,2,textbook,,
423,ownership interest,所有权益,所有权益,ˈoʊnərˌʃɪp ˈɪntəˌrɛst,,12,1,textbook,,
424,joint tenancy,联权共有,联权共有,ʤɔɪnt ˈtɛnənsi,,12,3,textbook,,
425,right of survivorship,生存者权,生存者权,,,12,1,textbook,,
426,suit to partition,土地分割之诉,土地分割之诉,sut tɪ pɑrˈtɪʃən,,12,1,textbook,,
427,easement,地役权,地役权,ˈizmənt,,12,4,textbook,,
428,right-of-way,通行权,通行权,,,12,1,textbook,,
429,mineral interest,矿物权益,矿物权益,ˈmɪnərəl ˈɪntəˌrɛst,,12,1,textbook,,
430,riparian or water rights,河岸权,河岸权,,,12,1,textbook,,
431,commerce clause,商业条款,商业条款,ˈkɑmərs klɔz,,"6,12",3,textbook,,
432,navigable waters,可通航水域,可通航水域,ˈnævəgəbəl ˈwɔtərz,,"9,12",3,textbook,,
433,eminent domain,国家征用权,国家征用权,ˈɛmənənt doʊˈmeɪn,,"9,12",7,textbook,,
434,public use,公用,公用,ˈpəblɪk juz,,"9,12",4,textbook,,
435,just compensation,合理补偿,合理补偿,ʤɪst ˌkɑmpənˈseɪʃən,,"9,12",9,textbook,,
436,zoning ordinance,分区条例,分区条例,ˈzoʊnɪŋ ˈɔrdənəns,,12,1,textbook,,
437,zoning,分区；分区法,分区；分区法,ˈzoʊnɪŋ,,"9,12",15,textbook,,
438,historic preservation,历史保护,历史保护,hɪˈstɔrɪk ˌprɛzərˈveɪʃən,,12,3,textbook,,
439,national register of historic places,国家史迹名录,国家史迹名录,ˈnæʃənəl ˈrɛʤɪstər əv hɪˈstɔrɪk ˈpleɪsɪz,,12,1,textbook,,
440,public welfare,公共福利,公共福利,ˈpəblɪk ˈwɛlˌfɛr,,12,1,textbook,,
441,inception of title and liens,所有权的取得与留置权,所有权的取得与留置权,ˌɪnˈsɛpʃən əv ˈtaɪtəl ənd linz,,12,1,textbook,,
442,foreclosure,止赎,止赎,fɔrˈkloʊʒər,,12,2,textbook,,
443,adverse possession,逆占有,逆占有,ˌædˈvərs pəˈzɛʃən,,12,6,textbook,,
444,color of title,表面所有权,表面所有权,ˈkələr əv ˈtaɪtəl,,12,2,textbook,,
445,warranty deed,担保契据,担保契据,ˈwɔrənti did,,12,3,textbook,,
446,special warranty deed,特别担保契据,特别担保契据,ˈspɛʃəl ˈwɔrənti did,,12,2,textbook,,
447,quitclaim deed,免责转让契据,免责转让契据,,,12,5,textbook,,
448,grantee,受让人,受让人,,,12,3,textbook,,
449,record,登记；记录,登记；记录,ˈrɛkərd,,"12,13",5,textbook,,
450,marketable title,可转让产权,可转让产权,ˈmɑrkətəbəl ˈtaɪtəl,,12,1,textbook,,
451,title examiner,产权审查人,产权审查人,ˈtaɪtəl ɪgˈzæmənər,,12,1,textbook,,
452,title insurance company,产权保险公司,产权保险公司,ˈtaɪtəl ˌɪnˈʃʊrəns ˈkəmpəˌni,,12,1,textbook,,
453,creditor,债权人,债权人,ˈkrɛdɪtər,,12,7,textbook,,
454,judgment lien,判决留置权,判决留置权,ˈʤəʤmənt lin,,12,1,textbook,,
455,security interest,担保权益,担保权益,sɪˈkjʊrəti ˈɪntəˌrɛst,,12,3,textbook,,
456,debtor,债务人,债务人,ˈdɛtər,,12,2,textbook,,
457,foreclose,止赎,止赎,fɔrˈkloʊz,,12,1,textbook,,
458,rent-to-buy,租购,租购,,,12,1,textbook,,
459,probate and succession,遗嘱检验与继承,遗嘱检验与继承,ˈproʊˌbeɪt ənd səkˈsɛʃən,,12,1,textbook,,
460,personalty,动产,动产,,,12,3,textbook,,
461,testate,立有遗嘱,立有遗嘱,,,12,3,textbook,,
462,intestate,无遗嘱；遗嘱,无遗嘱；遗嘱,,,12,2,textbook,,
463,intestacy statute,无遗嘱继承法,无遗嘱继承法,,,12,2,textbook,,
464,testator,立遗嘱人,立遗嘱人,,,12,11,textbook,,
465,intestate succession,无遗嘱继承,无遗嘱继承,,,12,3,textbook,,
466,escheat,收归国有,收归国有,,,12,1,textbook,,
467,uniform probate code,统一遗嘱检验法典,统一遗嘱检验法典,ˈjunəˌfɔrm ˈproʊˌbeɪt koʊd,,12,1,textbook,,
468,intestacy,无遗嘱继承,无遗嘱继承,,,12,1,textbook,,
469,testate succession,有遗嘱继承,有遗嘱继承,,,12,1,textbook,,
470,holographic will,自书遗嘱,自书遗嘱,ˌhɔloʊˈgræfɪk wɪl,,12,1,textbook,,
471,nuncupative will,口述遗嘱,口述遗嘱,,,12,3,textbook,,
472,testamentary capacity,遗嘱能力,遗嘱能力,ˌtɛstəˈmɛntəri kəˈpæsɪti,,12,2,textbook,,
473,sound mind,神志健全,神志健全,saʊnd maɪnd,,12,1,textbook,,
474,codicil,遗嘱补正书,遗嘱补正书,,,12,2,textbook,,
475,living will,生前遗嘱,生前遗嘱,ˈlɪvɪŋ wɪl,,12,2,textbook,,
476,probate,遗嘱检验；遗嘱认证,遗嘱检验；遗嘱认证,ˈproʊˌbeɪt,,"2,5,12",8,textbook,,
477,administrator,遗产管理人,遗产管理人,ədˈmɪnɪˌstreɪtər,,12,2,textbook,,
478,trust,信托,信托,trəst,,"2,12",18,textbook,,
479,bequest,遗赠,遗赠,bɪkˈwɛst,,12,1,textbook,,
480,trusts and gifts,信托与赠与,信托与赠与,trəsts ənd gɪfts,,12,1,textbook,,
481,trustor,委托人,委托人,,,12,4,textbook,,
482,settlor,财产授予人；委托人,财产授予人；委托人,,,12,4,textbook,,
483,testamentary trust,遗嘱信托,遗嘱信托,ˌtɛstəˈmɛntəri trəst,,12,1,textbook,,
484,inter vivos trust,生前信托,生前信托,,,12,1,textbook,,
485,spendthrift,挥霍者,挥霍者,ˈspɛndθˌrɪft,,12,1,textbook,,
486,rule against perpetuities,反永久管业规则,反永久管业规则,,,12,1,textbook,,
487,corpus,本金,本金,ˈkɔrpəs,,12,2,textbook,,
488,principal,本金；主犯,本金；主犯；一级二级主犯,ˈprɪnsəpəl,《元照》：可指本金、本人/委托人、主债务人、主犯等。原“一级二级主犯”属 principals of the first and second degrees 的复合概念。,"7,12",5,textbook,aggregation_cleanup,principal n. ③本金；资本……⑥主犯。
489,donee,受赠人,受赠人,,,12,2,textbook,,
490,intellectual property,知识产权,知识产权,ˌɪnəˈlɛkʧuəl ˈprɑpərti,,12,14,textbook,,
491,patentee,专利权人,专利权人,,,12,1,textbook,,
492,license,许可,许可,ˈlaɪsəns,,12,3,textbook,,
493,trademark,商标,商标,ˈtreɪdˌmɑrk,,12,17,textbook,,
494,unfair competition,不正当竞争,不正当竞争,ˌɔnˈfɛr ˌkɑmpəˈtɪʃən,,12,3,textbook,,
495,prior art,现有技术,现有技术,praɪər ɑrt,,12,1,textbook,,
496,non-obviousness,非显而易见性,非显而易见性,,,12,1,textbook,,
497,utility patent,实用专利,实用专利,juˈtɪləti ˈpætənt,,12,1,textbook,,
498,design patent,外观设计专利,外观设计专利,dɪˈzaɪn ˈpætənt,,12,1,textbook,,
499,plant patent,植物专利,植物专利,plænt ˈpætənt,,12,1,textbook,,
500,patent and trademark office,专利商标局,专利商标局,ˈpætənt ənd ˈtreɪdˌmɑrk ˈɔfəs,,12,2,textbook,,
501,court of appeals for the federal circuit,联邦巡回上诉法院,联邦巡回上诉法院,kɔrt əv əˈpilz fər ðə ˈfɛdərəl ˈsərkət,,12,2,textbook,,
502,infringement,侵权,侵权,ˌɪnˈfrɪnʤmənt,,12,7,textbook,,
503,paris convention,巴黎公约,巴黎公约,ˈpɛrɪs kənˈvɛnʃən,,12,1,textbook,,
504,priority date,优先权日,优先权日,praɪˈɔrəti deɪt,,12,1,textbook,,
505,semiconductor chip protection act,半导体芯片保护法,半导体芯片保护法,ˌsɛmɪkənˈdəktər ʧɪp prəˈtɛkʃən ækt,,12,1,textbook,,
506,work for hire,雇佣作品,雇佣作品,wərk fər haɪər,,12,4,textbook,,
507,fair use,合理使用,合理使用,fɛr juz,,12,2,textbook,,
508,digital millennium copyright act,数字千年版权法,数字千年版权法,ˈdɪʤɪtəl məˈlɛniəm ˈkɑpiˌraɪt ækt,,12,1,textbook,,
509,circumvention,规避,规避,ˌsərkəmˈvɛnʧən,,12,1,textbook,,
510,circumvent,规避,规避,ˌsərkəmˈvɛnt,,12,1,textbook,,
511,trade secret,商业秘密,商业秘密,treɪd ˈsikrɪt,,12,5,textbook,,
512,misappropriation,盗用,盗用,ˌmɪsəˌproʊpriˈeɪʃən,,12,1,textbook,,
513,lanham act,兰哈姆法,兰哈姆法,ˈlænəm ækt,,12,3,textbook,,
514,service mark,服务商标,服务商标,ˈsərvɪs mɑrk,,12,1,textbook,,
515,right of publicity,公开权,公开权,raɪt əv pəˈblɪsɪti,,12,1,textbook,,
516,berne convention,伯尔尼公约,伯尔尼公约,bərn kənˈvɛnʃən,,12,1,textbook,,
517,madrid agreement,马德里协定,马德里协定,məˈdrɪd əˈgrimənt,,12,1,textbook,,
518,trips agreement,与贸易有关的知识产权协定,与贸易有关的知识产权协定,trɪps əˈgrimənt,,12,1,textbook,,
519,lawsuit,诉讼,诉讼,ˈlɔˌsut,,"2,13,14",27,textbook,,
520,felony,重罪,重罪,ˈfɛləni,,"3,4,5,6,7,13",13,textbook,,
521,dissolution,解除,解除,ˌdɪsəˈluʃən,,13,18,textbook,,
522,marriage,婚姻,婚姻,ˈmɛrɪʤ,,13,89,textbook,,
523,custody,监护权,监护权,ˈkəstədi,,13,26,textbook,,
524,paternity suit,确认生父之诉,确认生父之诉,pəˈtərnɪti sut,,13,3,textbook,,
525,adoption,收养,收养,əˈdɑpʃən,,13,33,textbook,,
526,spouse,配偶,配偶,spaʊs,,"13,14",25,textbook,,
527,parent-child relationship,亲子关系,亲子关系,,,13,16,textbook,,
528,state legislature,州立法机关,州立法机关,steɪt ˈlɛʤəsˌleɪʧər,,"13,14",7,textbook,,
529,supreme court,最高法院,最高法院,səˈprim kɔrt,,"3,6,13,14",130,textbook,,
530,equal protection,平等保护,平等保护,ˈikwəl prəˈtɛkʃən,,"6,7,8,13",20,textbook,,
531,state court,州法院,州法院,steɪt kɔrt,,13,3,textbook,,
532,domestic-relation court,家事法院,家事法院,,,13,1,textbook,,
533,jurisprudence,法理；法理学,法理；法理学,ˌʤʊrəˈsprudəns,,"2,9,13",8,textbook,,
534,litigant,诉讼当事人,诉讼当事人,ˈlɪtɪgənt,,"2,3,4,5,13,14",25,textbook,,
535,informal marriage,非正式婚姻,非正式婚姻,ˌɪnˈfɔrməl ˈmɛrɪʤ,,13,10,textbook,,
536,maintenance,供养；生活费,供养；生活费,ˈmeɪntənəns,,13,5,textbook,,
537,formal,正式,正式,ˈfɔrməl,,13,5,textbook,,
538,ground,理由,理由,graʊnd,,13,19,textbook,,
539,no-fault,无过错,无过错,,,13,4,textbook,,
540,fault,过错,过错,fɔlt,,13,7,textbook,,
541,property division,财产分割,财产分割,ˈprɑpərti dɪˈvɪʒən,,13,11,textbook,,
542,praetor,裁判官,裁判官,ˈpritər,,13,1,textbook,,
543,justiciable,可裁判,可裁判,,,13,1,textbook,,
544,code,法典,法典,koʊd,,"2,13",14,textbook,,
545,canon law,教会法,教会法,ˈkænən lɔ,,"2,13",14,textbook,,
546,ecclesiastical court,教会法院,教会法院,ˌɛˌkliziˈæstɪkəl kɔrt,,"2,13",3,textbook,,
547,jurisdiction,司法管辖权；司法辖区；管辖权；法域；管辖,司法管辖权；司法辖区；管辖权；法域；管辖,ˌʤʊrɪsˈdɪkʃən,,"2,3,4,5,6,7,8,13,14",59,textbook,,
548,matrimonial causes act,婚姻案件法,婚姻案件法,ˌmætrəˈmoʊniəl ˈkɔzɪz ækt,,13,1,textbook,,
549,chattel,动产,动产,ˈʧætəl,,"5,13",2,textbook,,
550,property right,财产权,财产权,ˈprɑpərti raɪt,,"9,13,14",7,textbook,,
551,equity court,衡平法院,衡平法院,ˈɛkwəti kɔrt,,13,1,textbook,,
552,consanguinity,血亲关系,血亲关系,,,13,3,textbook,,
553,marital relationship,婚姻关系,婚姻关系,ˈmærətəl riˈleɪʃənˌʃɪp,,13,14,textbook,,
554,divorce law,离婚法,离婚法,dɪˈvɔrs lɔ,,13,1,textbook,,
555,territory,领地,领地,ˈtɛrɪˌtɔri,,13,3,textbook,,
556,domestic relations law,家事法,家事法,dəˈmɛstɪk riˈleɪʃənz lɔ,,13,2,textbook,,
557,polygamy,多配偶制,多配偶制,pəˈlɪgəˌmi,,13,4,textbook,,
558,divorce suit,离婚诉讼,离婚诉讼,dɪˈvɔrs sut,,13,6,textbook,,
559,proof,证明,证明,pruf,,13,11,textbook,,
560,marriage breakdown,婚姻破裂,婚姻破裂,ˈmɛrɪʤ ˈbreɪkˌdaʊn,,13,2,textbook,,
561,irreconcilable differences,不可调和的分歧,不可调和的分歧,ˌɪˈrɛkənˌsaɪləbəl ˈdɪfərənsɪz,,13,1,textbook,,
